radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,650,1,132,30702,0,35.00069,-15.768295,3357,133,1,1459813077,1490075579,0
GSM,650,10,250,1855,0,35.060806274414,-15.874557495117,1000,1,1,1291131484,1291131484,0
UMTS,650,10,7508,74258,0,33.918228,-9.946747,1000,4,1,1361138750,1361138750,0
GSM,650,1,118,41032,0,35.085525512695,-15.844345092773,1000,3,1,1361378888,1361378888,0
GSM,650,10,2508,9033,0,34.994888305664,-15.767440795898,1000,9,1,1361402790,1361636386,0
GSM,650,10,2508,9482,0,35.073165893555,-15.825119018555,1000,4,1,1361537590,1361537590,0
GSM,650,10,2508,8001,0,35.073165893555,-15.825119018555,1000,1,1,1361537640,1361537640,0
GSM,650,10,250,2913,0,34.999736,-15.766459,1000,51,1,1361908596,1487386621,0
UMTS,650,10,6008,73858,0,33.750687,-13.936386,1000,3,1,1362401818,1381598665,0
GSM,650,10,900,3146,0,33.750686645508,-13.93684387207,1000,1,1,1362382144,1362382144,0
GSM,650,10,950,3683,0,33.750686645508,-13.93684387207,1000,1,1,1362382279,1362382279,0
UMTS,650,10,6008,74067,0,33.769913,-13.952866,1000,3,1,1362469200,1438434502,0
GSM,650,10,900,4661,0,33.772659301758,-13.950576782227,1000,1,1,1362450849,1362450849,0
GSM,650,10,2508,8483,0,35.022354125977,-15.815505981445,1000,1,1,1362900297,1362900297,0
GSM,650,10,950,55011,0,33.782272338867,-13.984909057617,1000,2,1,1363101081,1363101081,0
UMTS,650,10,6008,50594049,0,33.77815246582,-13.939590454102,1000,1,1,1363212445,1363212445,0
UMTS,650,10,6008,74048,0,33.77815246582,-13.939590454102,1000,1,1,1363212506,1363212506,0
GSM,650,1,111,50591,0,33.282394,-9.709167,1000,6,1,1364830729,1364830729,0
GSM,650,10,2508,8143,0,35.013565,-15.804794,1000,5,1,1364976850,1382958523,0
GSM,650,10,2508,9323,0,35.011367797852,-15.808639526367,1000,2,1,1364957230,1364957230,0
GSM,650,10,2508,8093,0,35.02565,-15.8004,1000,5,1,1365082489,1382958402,0
UMTS,650,10,7008,75488,0,34.018478393555,-11.436080932617,1000,2,1,1365344035,1365344035,0
UMTS,650,10,7008,74367,0,34.018478393555,-11.436080932617,1000,3,1,1365344218,1365344218,0
GSM,650,10,2508,9253,0,35.010452,-15.789871,1678,3,1,1366359017,1373359759,0
GSM,650,10,2508,8433,0,35.022011,-15.793104,1239,16,1,1366359075,1404874765,0
GSM,650,1,118,41282,0,35.012741,-15.809326,1000,2,1,1366350045,1366350045,0
GSM,650,1,118,41281,0,35.011826,-15.807724,1000,3,1,1366350226,1366350226,0
GSM,650,10,2508,9313,0,35.027847290039,-15.823745727539,1000,4,1,1366370654,1366370654,0
GSM,650,10,2508,9663,0,35.00862121582,-15.82649230957,1000,1,1,1366538022,1366538022,0
GSM,650,1,118,40581,0,35.005874633789,-15.831985473633,1000,5,1,1366803293,1366803293,0
GSM,650,10,720,3272,0,33.693554,-13.065079,16090,5,1,1366828636,1408114933,0
UMTS,650,1,113,171253,0,33.759476,-13.936569,1000,5,1,1366830204,1435220449,0
UMTS,650,10,6008,73857,0,33.774349,-13.943816,1703,13,1,1367321571,1381165191,0
GSM,650,10,900,3203,0,33.7856,-13.937701,1960,50,1,1367321690,1523365498,0
UMTS,650,10,6008,74168,0,33.776932,-14.186783,1000,9,1,1367411722,1367411722,0
UMTS,650,10,7508,74248,0,33.676528,-9.999394,13564,6,1,1368271335,1368271335,0
UMTS,650,1,113,171344,0,33.804244995117,-13.997268676758,1000,2,1,1368456245,1368456245,0
UMTS,650,1,113,171314,0,33.804244995117,-13.997268676758,1000,1,1,1368456305,1368456305,0
GSM,650,10,2508,8492,0,35.025100708008,-15.816879272461,1000,2,1,1368869996,1368869996,0
GSM,650,10,250,2892,0,35.021896,-15.676346,1799,3,1,1369388608,1449136199,0
UMTS,650,10,6008,73769,0,33.767166,-14.004135,1000,3,1,1369520677,1424993260,0
UMTS,650,10,6008,74499,0,33.769914,-13.980789,5106,3,1,1369520746,1421665248,0
UMTS,650,10,6008,75378,0,33.767853,-14.005508,1000,2,1,1369520815,1424993140,0
UMTS,650,10,6008,75207,0,33.768311,-13.985062,1000,18,1,1369559099,1443176895,0
UMTS,650,10,6008,73748,0,33.767166,-13.984394,1000,8,1,1369559220,1445792591,0
UMTS,650,10,6008,74928,0,33.768664,-13.983036,1000,11,1,1369572384,1445819385,0
GSM,650,10,150,1601,0,34.81636,-16.039902,1000,5,1,1369630138,1369630138,0
UMTS,650,10,6008,74458,0,33.791991,-13.93864,1000,13,1,1369726970,1436334462,0
UMTS,650,10,6008,74618,0,33.79012,-13.926054,1000,7,1,1369728458,1410853532,0
GSM,650,1,116,11021,0,35.110244750977,-16.576309204102,1000,5,1,1370170336,1370170336,0
GSM,650,1,117,30183,0,35.026473999023,-15.800399780273,1000,5,1,1370258670,1370258670,0
UMTS,650,10,6008,74128,0,33.741073608398,-13.92448425293,1000,1,1,1370612754,1370612754,0
GSM,650,1,118,40123,0,34.989395,-15.769157,1000,4,1,1370697332,1370697332,0
GSM,650,1,118,40593,0,34.989395141602,-15.768814086914,1000,2,1,1370713347,1370713347,0
GSM,650,10,2508,9802,0,35.060806274414,-15.874557495117,1000,15,1,1371146030,1371303865,0
GSM,650,10,900,3892,0,33.765793,-13.942337,3516,3,1,1371199472,1474122749,0
GSM,650,10,900,3813,0,33.758926391602,-13.917617797852,1000,1,1,1371179716,1371179716,0
GSM,650,10,900,3582,0,33.758926391602,-13.917617797852,1000,2,1,1371179835,1371179835,0
GSM,650,10,2508,8481,0,35.025100708008,-15.815505981445,1000,5,1,1371661065,1371661065,0
GSM,650,10,2508,8142,0,35.022354125977,-15.80451965332,1000,3,1,1372055723,1372055723,0
GSM,650,10,2508,9021,0,35.016860961914,-15.763320922852,1000,1,1,1372351662,1372351662,0
GSM,650,10,2508,9813,0,35.004501,-15.787766,1000,5,1,1372431121,1372431121,0
GSM,650,10,2508,8641,0,35.033340454102,-15.790786743164,1000,1,1,1372646252,1372646252,0
UMTS,650,10,6008,73758,0,33.794632,-13.960533,1000,4,1,1373040671,1438044440,0
GSM,650,10,930,4104,0,33.797104,-13.959641,1000,5,1,1373040906,1480316389,0
UMTS,650,10,6008,74107,0,33.787765,-13.96843,1000,2,1,1373044249,1439276586,0
GSM,650,10,930,3785,0,33.775994,-13.954501,1702,7,1,1373044311,1438434502,0
GSM,650,10,930,3821,0,33.787308,-13.966599,1000,3,1,1373044371,1480316389,0
UMTS,650,10,6008,74109,0,33.779697,-13.972206,1000,8,1,1373044429,1443396676,0
UMTS,650,1,113,172165,0,33.776779174805,-13.945083618164,1000,3,1,1373258274,1373258274,0
UMTS,650,1,113,172164,0,33.776216,-13.944131,1000,9,1,1373263109,1532589737,0
GSM,650,10,900,3642,0,33.774229,-13.948615,1018,7,1,1373272417,1474122749,0
GSM,650,10,930,3903,0,33.77109,-13.958326,2349,14,1,1373277993,1490004348,0
GSM,650,1,124,30873,0,35.00845,-15.764694,1000,8,1,1373305224,1373456360,0
UMTS,650,10,6008,73757,0,33.793259,-13.958645,1000,8,1,1373557288,1442838170,0
GSM,650,10,2508,8072,0,34.994888305664,-15.775680541992,1000,1,1,1373778278,1373778278,0
UMTS,650,10,6008,73749,0,33.759613,-13.984909,1000,2,1,1374182266,1445819429,0
UMTS,650,10,6008,74779,0,33.748627,-13.982849,2034,4,1,1374182329,1445401756,0
GSM,650,10,930,3032,0,33.744804,-13.983348,6670,25,1,1374182504,1523441316,0
GSM,650,10,2508,9461,0,34.977035522461,-15.772933959961,1000,1,1,1374747341,1374747341,0
GSM,650,10,2508,9322,0,35.015487670898,-15.810012817383,1000,1,1,1375369430,1375369430,0
GSM,650,1,114,60573,0,33.754543,-13.992376,1752,20,1,1375700924,1523496601,0
GSM,650,10,2508,9303,0,35.012054,-15.78804,1000,4,1,1376054453,1383132117,0
GSM,650,10,2508,8041,0,35.006561,-15.787354,1000,2,1,1376054631,1394507974,0
GSM,650,10,250,1012,0,35.011022,-15.786705,3075,187,1,1376054705,1491891658,0
GSM,650,10,2508,9281,0,35.00845,-15.712337,1000,8,1,1376078023,1408261574,0
GSM,650,10,2508,9632,0,35.008774,-15.712814,1879,9,1,1376078143,1408261689,0
GSM,650,10,250,5562,0,35.007248,-15.734482,4895,3,1,1376078274,1447504517,0
GSM,650,10,520,2093,0,34.882401,-14.940597,11047,78,1,1376224574,1386798969,0
GSM,650,10,520,52022,0,34.871824,-14.942291,18996,49,1,1376227331,1386799281,0
GSM,650,10,6008,9392,0,33.768539428711,-13.98078918457,1000,1,1,1376375885,1376375885,0
UMTS,650,10,6008,75209,0,33.767166,-13.986435,1000,9,1,1376399799,1435138139,0
GSM,650,10,150,5423,0,35.318298,-15.396309,1033,8,1,1376769126,1471936734,0
